No.	単語	品詞	意味	用例	追加
595	joke	名	冗談、ジョーク	tell a joke	
596	joy	名	喜び	feel great joy	
597	judge	動	・・・を判断する	judge people by…	
598	juice	名	ジュース	apple juice	
599	July	名	７月	in July	
600	jump	動	跳ぶ、はねる	jump into the river	
601	June	名	６月	in June	
602	junior high school	名	中学校	How can I get to your junior high school?	
603	just	副	ちょうど、単に、ちょっと	just now	
604	keep	動	ずっと・・・のままである、・・・し続ける、 ・・・を保つ、～を・・・に保つ  《活用》kept-kept	keep dancing / keep the room clean	
605	key	名	鍵、手がかり、秘けつ	forget my key	
606	kick	動	・・・を蹴る	kick a ball	
607	kill	動	・・・を殺す	Many people were killed in the war.	
608	kilogram	名	キログラム	two kilograms	
609	kilometer	名	キロメートル	two kilometers	
610	kind	名	種類	a kind of…	
611	kind	形	親切な	a kind man	
612	king	名	王	become king	
613	kitchen	名	台所	in the kitchen	
614	knife	名	ナイフ	cut an apple with a knife	
615	know	動	・・・を知っている、・・・が分かる　《活用》knew-known	know the boy well / know that...	
616	Korea	名	韓国・朝鮮	visit Korea	
617	Korean	名・形	韓国・朝鮮人（の）、韓国・朝鮮語（の）、韓国・朝鮮の	I like Korean food.	
618	lady	名	女性、婦人	Ladies and gentlemen,	
619	lake	名	湖	go fishing in the lake	
620	land	名	土地	a cold land	
621	language	名	言語	language and gesture	
622	large	形	大きい	a large park	
623	last	形	最後の、この前の	last Sunday	
624	last	動	続く	The war lasted for many years.	
625	late	形・副	遅い、遅れた、遅く、遅れて 	be late for school / come back home late	
626	later	副	（lateの比較級）のちに、・・・後	a few days later	
627	latest	形	（lateの最上級）最新の	the latest news	
628	laugh	動	笑う	laugh at a joke	
629	law	名	法律、法則	against the law	
630	lawyer	名	法律家、弁護士	work as a lawyer	
631	lay	動	…を置く、横たえる　《活用》laid-laid 、lie（横になる）の過去形	lay a book on the table / lay the baby on the bed	
632	lead	動	・・・を先導する、案内する　《活用》led-led	lead her to the station	
633	leader	名	リーダー、指導者	choose Mary as our leader	
634	learn	動	・・・を学ぶ・習う	learn English / learn that …	
635	leave	動	・・・を出発する、発つ、…を残す　《活用》left-left	leave home for the station	
636	left	名・形	左（の）、左側（の）	turn to the left	
637	leg	名	脚	the legs of a chair	
638	lemon	名	レモン	tea with lemon	
639	lend	動	（～に）・・・を貸す　《活用》lent-lent	lend him my bike	
640	lesson	名	レッスン、課、授業	have no lessons this afternoon	
641	let	動	～に・・・させる　《活用》let-let	Let me show you my town.	○
642	let's		・・・しましょう	Let's play soccer.	
643	letter	名	手紙	write a letter to her	
644	library	名	図書館	study in a library	
645	lie	動	横たわる　《活用》lay-lain	lie in bed	
646	life	名	生活、人生、生命	school life	
647	light	名	光、明かり	a bright light	
648	light	形	軽い、明るい	This box is very light.	
649	like	動	・・・を好む	like mathematics / I like swimming. 	
650	like	前	…のような	look like an animal	
651	line	名	線	draw a line	
652	lion	名	ライオン	a group of lions	
653	list	名	リスト	a list of books	
654	listen	動	・・・を聞く（to ・・・)	listen to the music	
655	little	形	①小さい　②（通例a littleで）少しの、少ない　《活用》（②の場合）less-least	①a little cat　②a little water	
656	little	副	少し	I can speak Chinese a little.	
657	live	動	生きる、住む	live in Osaka	
658	local	形	地元の	local people	
659	London	名	ロンドン	live in London	
660	long	形	①長い　②長さが・・・で、・・・の長さの	①This river is long.  ② This river is 75 kilometers long.　	
